symbol,name,exchange,country,assigned_focus_sector,source_sector,source_industry,flag,suggested_action,note
ADS1.F,adidas AG,FRA,Germany,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",duplicate_listing,remove,Same company as ADS.DE; keep one primary listing
AMZN,"Amazon.com, Inc.",NMS,United States,luxury_consumer,Consumer Discretionary,Internet & Direct Marketing Retail,,,
ARMK,Aramark,NYQ,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure",,,
BKNG,Booking Holdings Inc.,NMS,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure",,,
BRBY.L,Burberry Group plc,LSE,United Kingdom,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",,,
BURL,"Burlington Stores, Inc.",NYQ,United States,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",,,
CCL,Carnival Corporation & plc,NYQ,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure",,,
CDI.PA,Christian Dior SE,PAR,France,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",check,your call,Holding company of LVMH: double exposure
CFR.SW,Compagnie Financiere Richemont SA,EBS,Switzerland,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",,,
CHWY,"Chewy, Inc.",NYQ,United States,luxury_consumer,Consumer Discretionary,Internet & Direct Marketing Retail,,,
CMG,"Chipotle Mexican Grill, Inc.",NYQ,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure",,,
CPG.L,Compass Group PLC,LSE,United Kingdom,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure",,,
CVNA,Carvana Co.,NYQ,United States,luxury_consumer,Consumer Discretionary,Internet & Direct Marketing Retail,,,
DECK,Deckers Outdoor Corporation,NYQ,United States,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",,,
DHER.DE,Delivery Hero SE,GER,Germany,luxury_consumer,Consumer Discretionary,Internet & Direct Marketing Retail,,,
DHER.F,Delivery Hero SE,FRA,Germany,luxury_consumer,Consumer Discretionary,Internet & Direct Marketing Retail,duplicate_listing,remove,Same company as DHER.DE; keep one primary listing
DKNG,DraftKings Inc.,NMS,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure",,,
DPZ,"Domino's Pizza, Inc.",NYQ,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure",,,
DRI,"Darden Restaurants, Inc.",NYQ,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure",,,
EBAY,eBay Inc.,NMS,United States,luxury_consumer,Consumer Discretionary,Internet & Direct Marketing Retail,,,
EL.PA,EssilorLuxottica Societe anonyme,PAR,France,luxury_consumer,Health Care,Health Care Equipment & Supplies,check,your call,"Eyewear: source says health care equipment, assigned luxury"
ENT.L,Entain Plc,LSE,United Kingdom,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure",,,
EVO.ST,Evolution Gaming Group AB (publ),STO,Sweden,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure",,,
EXPE,"Expedia Group, Inc.",NMS,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure",,,
FDJ.PA,FDJ United,PAR,France,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure",,,
FLTR.IR,Flutter Entertainment plc,ISE,Ireland,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure",duplicate_listing,remove,Same company as FLUT; keep one primary listing
GAP,Gap Inc. (The) Common Stock,NYQ,United States,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",,,
H,Hyatt Hotels Corporation,NYQ,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure",,,
HAS,"Hasbro, Inc.",NMS,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure",,,
HFG.DE,HelloFresh SE,GER,Germany,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure",,,
HFG.F,HelloFresh SE,FRA,Germany,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure",duplicate_listing,remove,Same company as HFG.DE; keep one primary listing
HLT,Hilton Worldwide Holdings Inc.,NYQ,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure",,,
HM-B.ST,H & M Hennes & Mauritz AB (publ),STO,Sweden,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",,,
IHG.L,InterContinental Hotels Group PLC,LSE,United Kingdom,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure",,,
ITX.MC,"Industria de Diseno Textil, S.A.",MCE,Spain,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",,,
KER.PA,Kering SA,PAR,France,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",,,
LVS,Las Vegas Sands Corp.,NYQ,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure",,,
MAR,"Marriott International, Inc. Class A",NMS,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure",,,
MC.PA,"LVMH Moët Hennessy - Louis Vuitton, Societe Europeenne",PAR,France,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",,,
MCD,McDonald's Corporation,NYQ,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure",,,
MONC.MI,Moncler S.P.A.,MIL,Italy,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",,,
NCLH,Norwegian Cruise Line Holdings Ltd.,NYQ,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure",,,
NKE,"Nike, Inc.",NYQ,United States,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",,,
NXT.L,NEXT plc,LSE,United Kingdom,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",,,
PNDORA.CO,Pandora A/S,CPH,Denmark,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",,,
PUM.DE,PUMA SE,GER,Germany,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",,,
PUM.F,PUMA SE,FRA,Germany,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",duplicate_listing,remove,Same company as PUM.DE; keep one primary listing
PUMA.F,PUMA SE,FRA,Germany,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",duplicate_listing,remove,Same company as PUM.DE; keep one primary listing
RCL,Royal Caribbean Group,NYQ,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure",,,
RL,Ralph Lauren Corporation Class A,NYQ,United States,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",,,
RMS.PA,Hermes International Societe en commandite par actions,PAR,France,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",,,
ROL,"Rollins, Inc.",NYQ,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure",,,
ROST,"Ross Stores, Inc.",NMS,United States,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",,,
SBUX,Starbucks Corporation,NMS,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure",,,
SCI,Service Corporation International,NYQ,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure",wrongly_in_focus,move to outside_focus,Funeral services
TJX,TJX Companies Inc,NYQ,United States,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",,,
TPR,"Tapestry, Inc.",NYQ,United States,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",,,
TXRH,"Texas Roadhouse, Inc.",NMS,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure",,,
UHR.SW,The Swatch Group AG,EBS,Switzerland,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",,,
UHRN.SW,The Swatch Group AG,EBS,Switzerland,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",duplicate_listing,remove,Same company as UHR.SW; keep one primary listing
WYNN,"Wynn Resorts, Limited",NMS,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure",,,
YUM,"Yum! Brands, Inc.",NYQ,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure",,,
ZAL.DE,Zalando SE,GER,Germany,luxury_consumer,Consumer Discretionary,Internet & Direct Marketing Retail,,,
ZAL.F,Zalando SE,FRA,Germany,luxury_consumer,Consumer Discretionary,Internet & Direct Marketing Retail,duplicate_listing,remove,Same company as ZAL.DE; keep one primary listing
ZAL1.DE,Zalando SE,GER,Germany,luxury_consumer,Consumer Discretionary,Internet & Direct Marketing Retail,duplicate_listing,remove,Same company as ZAL.DE; keep one primary listing
ZAL1.F,Zalando SE,FRA,Germany,luxury_consumer,Consumer Discretionary,Internet & Direct Marketing Retail,duplicate_listing,remove,Same company as ZAL.DE; keep one primary listing
