symbol,name,exchange,country,assigned_focus_sector,source_sector,source_industry
RCL,Royal Caribbean Group,NYQ,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure"
RL,Ralph Lauren Corporation Class A,NYQ,United States,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
RMS.PA,Hermes International Societe en commandite par actions,PAR,France,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
ROL,"Rollins, Inc.",NYQ,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure"
ROST,"Ross Stores, Inc.",NMS,United States,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
SBUX,Starbucks Corporation,NMS,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure"
SCI,Service Corporation International,NYQ,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure"
TJX,TJX Companies Inc,NYQ,United States,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
TPR,"Tapestry, Inc.",NYQ,United States,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
TXRH,"Texas Roadhouse, Inc.",NMS,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure"
UHR.SW,The Swatch Group AG,EBS,Switzerland,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
UHRN.SW,The Swatch Group AG,EBS,Switzerland,luxury_consumer,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
WYNN,"Wynn Resorts, Limited",NMS,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure"
YUM,"Yum! Brands, Inc.",NYQ,United States,luxury_consumer,Consumer Discretionary,"Hotels, Restaurants & Leisure"
ZAL.DE,Zalando SE,GER,Germany,luxury_consumer,Consumer Discretionary,Internet & Direct Marketing Retail
ZAL.F,Zalando SE,FRA,Germany,luxury_consumer,Consumer Discretionary,Internet & Direct Marketing Retail
ZAL1.DE,Zalando SE,GER,Germany,luxury_consumer,Consumer Discretionary,Internet & Direct Marketing Retail
ZAL1.F,Zalando SE,FRA,Germany,luxury_consumer,Consumer Discretionary,Internet & Direct Marketing Retail
